,Name,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,Name16S,quality
Beef59,Beef 59,Healthy,TX,Farm1,3/22/21,102.3,176590835.8,4.123808524,13298.67965,1,2.826074803,0,670,2.230448921,0,170,4.19144345,1,15539.72934,Beef59,Dirty
Beef6,Beef 6,BRD,TX,Farm1,3/9/21,105.5,233129209.1,6.795929207,6250707.943,1,4.580358162,1,38050.30675,2.230448921,0,170,5.032574021,1,107788.8952,Beef6,Dirty
Beef60,Beef 60,Healthy,TX,Farm1,3/24/21,101.1,116347,5.315312117,206686.503,1,2.826074803,0,670,5.731864957,1,539342.8884,4.627614162,1,42424.24891,Beef60,Dirty
Beef61,Beef 61,Healthy,TX,Farm1,3/23/21,102,678889315.5,6.113864505,1299764.002,1,2.826074803,0,670,6.38432624,1,2422848.397,4.415742139,1,26046.06612,Beef61,Dirty
Beef63,Beef 63,BRD,TX,Farm1,3/24/21,104.4,2.37E+11,7.418395918,26205709.22,1,4.796532655,1,62593.99277,5.574810464,1,375673.4157,5.901318733,1,796743.8747,Beef63,Dirty
Beef64,Beef 64,BRD,TX,Farm1,3/23/21,104.8,28090149.45,7.5473474,35265285.19,1,6.159026938,1,1442204.803,3.931535599,1,8541.528596,6.026909929,1,1063922.343,Beef64,Dirty
Beef65,Beef 65,Healthy,TX,Farm1,3/23/21,102.3,172190147.7,5.402580426,252685.5608,1,3.441971382,1,2766.759323,3.43929098,1,2749.735875,3.861250275,1,7265.245183,Beef65,Dirty
Beef66,Beef 66 ,Healthy,TX,Farm1,3/30/21,102.4,671295831,6.70140463,5028108.375,1,2.826074803,0,670,3.190006499,1,1548.839797,2.278753601,0,190,Beef74N,Dirty
Beef67,Beef 67,Healthy,TX,Farm1,3/30/21,102.3,174632784.7,4.469819135,29499.80433,1,2.826074803,0,670,2.230448921,0,170,4.712141326,1,51539.63348,Beef67,Dirty
Beef68,Beef 68,Healthy,TX,Farm1,3/29/21,102.4,323068904,6.140595525,1382278.412,1,5.570992651,1,372385.4051,4.672537671,1,47047.62132,4.797373933,1,62715.36193,Beef76N,Dirty
Beef69,Beef 69,BRD,TX,Farm1,3/30/21,105.5,8214788325,6.956844657,9054086.874,1,5.642389732,1,438924.4076,5.385080203,1,242705.8271,6.419200263,1,2625428.909,Beef75N,Dirty
Beef7,Beef 7,BRD,TX,Farm1,3/8/21,107,5936663.61,7.28010273,19059114.96,1,5.451997518,1,283137.5811,3.937859941,1,8666.82328,5.303032045,1,200924.106,Beef7,Dirty
Beef70,Beef70,BRD,TX,Farm1,3/29/21,105.5,743478926.7,6.622247489,4190322.885,1,3.906052404,1,8054.756278,5.355566607,1,226760.083,5.14593763,1,139938.6338,Beef77N,Dirty
Beef71,Beef 71,BRD,TX,Farm1,3/30/21,104,551265140.8,7.10032398,12598649.1,1,5.051380567,1,112559.0884,2.230448921,0,170,4.641469982,1,43799.58366,Beef72N,Dirty
Beef78,Beef 78,BRD,CO,Farm2,4/9/21,105.4,262442154.6,3.360376914,2292.856708,1,2.826074803,0,670,3.856234264,1,7181.815824,2.278753601,0,190,Beef78,Dirty
Beef79,Beef 79,BRD,CO,Farm2,4/9/21,104.2,1504102009,7.141571727,13853889.76,1,4.446867198,1,27981.25556,3.247516346,1,1768.138764,6.117740007,1,1311414.578,Beef79,Dirty
Beef8,Beef 8,Healthy,TX,Farm1,3/10/21,102.7,75293082.68,6.106886361,1279046.58,1,3.52923448,1,3382.474103,2.230448921,0,170,3.483697506,1,3045.772811,Beef8,Dirty
Beef80,Beef 80,Healthy,CO,Farm2,4/9/21,103.1,1687040548,4.306192997,20239.18391,1,2.826074803,0,670,2.230448921,0,170,3.384809303,1,2425.544815,Beef80,Dirty
Beef81,Beef 81,BRD,CO,Farm2,4/9/21,105.4,2301994995,5.226060882,168290.9963,1,3.964100712,1,9206.630478,4.342681569,1,22013.1184,5.7208249,1,525805.2279,Beef81,Dirty
Beef82,Beef 82,BRD,CO,Farm2,4/9/21,104.4,10762635.78,5.999402644,998625.4814,1,2.826074803,0,670,2.230448921,0,170,6.184398256,1,1528967.508,Beef82,Dirty
Beef83,Beef 83,Healthy,CO,Farm2,4/9/21,103.3,420919757.4,5.977361773,949208.8377,1,2.826074803,0,670,2.230448921,0,170,7.526201069,1,33589308.95,Beef83,Dirty
Beef84,Beef 84,Healthy,CO,Farm2,4/9/21,103.3,3089231185,5.674337487,472430.0201,1,4.866429338,1,73524.03575,2.230448921,0,170,5.066468038,1,116538.1282,Beef84,Dirty
