"","State","Genus","Status","taxa.average","overall.max"
"381","CA"," Enterobacterales","Healthy",0,0
"382","CA"," Enterobacteriaceae","Healthy",0.00867101919295542,0.00867101919295542
"383","CA"," Enterococcus","Healthy",0.00461991025219095,0.00461991025219095
"384","CA"," Enterorhabdus","Healthy",1.78924761504425e-06,1.78924761504425e-06
"385","CA"," env.OPS_17","Healthy",0,0
"386","CA"," Eoetvoesia","Healthy",0,0
"387","CA"," EPR3968-O8a-Bc78","Healthy",0,0
"388","CA"," Epulopiscium","Healthy",0,0
"389","CA"," Ercella","Healthy",0,0
"390","CA"," Erwiniaceae","Healthy",0,0
"391","CA"," Erysipelatoclostridium","Healthy",7.59853851989997e-06,7.59853851989997e-06
"392","CA"," Erysipelothrix","Healthy",0,0
"393","CA"," Erysipelotrichaceae","Healthy",0,0
"394","CA"," Erysipelotrichaceae_UCG-002","Healthy",0,0
"395","CA"," Erysipelotrichaceae_UCG-003","Healthy",2.06769637946364e-06,2.06769637946364e-06
"396","CA"," Erysipelotrichaceae_UCG-006","Healthy",0,0
"397","CA"," Erysipelotrichaceae_UCG-007","Healthy",3.47508741361102e-06,3.47508741361102e-06
"398","CA"," Erysipelotrichaceae_UCG-009","Healthy",1.36489387950087e-05,1.36489387950087e-05
"399","CA"," Escherichia-Shigella","Healthy",0.03136347019089,0.03136347019089
"400","CA"," Eubacterium","Healthy",3.15691983969998e-06,3.15691983969998e-06
"401","CA"," Euzebya","Healthy",0,0
"402","CA"," Exiguobacterium","Healthy",0.00194806358671634,0.00194806358671634
"403","CA"," F082","Healthy",0,0
"404","CA"," Facklamia","Healthy",0.00125292533952249,0.00125292533952249
"405","CA"," Faecalibacterium","Healthy",9.99469275118039e-05,9.99469275118039e-05
"406","CA"," Faecalicoccus","Healthy",1.41139603017565e-05,1.41139603017565e-05
"407","CA"," Faecalitalea","Healthy",0,0
"408","CA"," Falsiporphyromonas","Healthy",0,0
"409","CA"," Falsochrobactrum","Healthy",0,0
"410","CA"," Family_XIII_AD3011_group","Healthy",1.10043112791043e-06,1.10043112791043e-06
"411","CA"," Family_XIII_UCG-001","Healthy",3.34527149219849e-07,3.34527149219849e-07
"412","CA"," Fastidiosipila","Healthy",8.94006947102625e-06,8.94006947102625e-06
"413","CA"," Fermentimonas","Healthy",6.69054298439699e-07,6.69054298439699e-07
"414","CA"," Ferrovibrio","Healthy",0,0
"415","CA"," Ferruginibacter","Healthy",0,0
"416","CA"," FFCH7168","Healthy",0,0
"417","CA"," Fibrella","Healthy",0,0
"418","CA"," Fibrobacter","Healthy",0,0
"419","CA"," Filifactor","Healthy",0,0
"420","CA"," Filimonas","Healthy",0,0
"421","CA"," Filobacterium","Healthy",0,0
